initial_capital,lookback_window,label_threshold,learning_rate,phase_flexibility,lateral_strength,input_threshold,kerr_constant,system_energy,buy_threshold,sell_threshold,search_depth,trailing_stop_pct,ticker,final_value,trades,return_pct,sharpe,max_drawdown,win_rate,accuracy,timestamp
10000,30,0.010636046609176832,0.1604697527790474,0.10059160758271264,0.27278242835537825,0.715515208210179,0.36096395511681945,53.19692573940071,5.92561361647263,-2.571588124899206,3,0.11611772759544836,NVDA,11282.718799591064,433,12.827187995910643,0.23057176441886357,-23.20%,43.75%,58.06451612903226,2025-12-08 12:05:38
10000,30,0.011396092335856648,0.11254443485058334,0.14248495804950026,0.24720773070751137,0.7053487284368128,0.34096986527927065,61.85854225455654,13.694252057288688,-13.232529368919748,3,0.10840610300386462,NVDA,11129.771564483643,439,11.297715644836426,0.19873189907624725,-22.89%,44.18%,56.344086021505376,2025-12-08 12:05:53
10000,40,0.014631290911166304,0.12260132737958142,0.28764256386025255,0.25862859621834705,0.6858177178262836,0.14755514171721074,68.22313033424393,2.515690131358661,-13.069751523015617,3,0.08344426435884089,NVDA,10573.7056350708,392,5.7370563507080075,0.000823852361483567,-15.76%,38.33%,54.72527472527473,2025-12-08 12:06:08
10000,40,0.02416879732192276,0.11965906713114037,0.20903880229587396,0.21564438740586941,0.5565978613826872,0.2532768293633382,53.56737245705415,11.653961161284379,-3.4892103165495474,3,0.14709741614489152,NVDA,10137.051834106445,368,1.3705183410644532,-0.00818660409520443,-23.77%,43.61%,49.89010989010989,2025-12-08 12:06:24
10000,30,0.01553532293802179,0.05121532074434615,0.1968949390421153,0.2799133996664249,0.7441770393516575,0.21984548732169806,54.60428517884587,6.561824442869411,-11.955571840283376,3,0.11711097305185927,NVDA,11053.43055343628,443,10.534305534362794,0.18915380985792413,-22.33%,43.75%,55.053763440860216,2025-12-08 12:06:39
10000,20,0.01682841207690785,0.1617333897956572,0.2639232399134624,0.3868240499699711,0.5781948530428412,0.39684574985213883,72.78058556136808,4.6357913139479425,-14.153122403554773,3,0.11838103719549056,NVDA,12647.613075256348,407,26.476130752563478,0.43173850361060523,-24.38%,45.15%,62.10526315789474,2025-12-08 12:06:53
10000,40,0.020452512511954964,0.08864790049943456,0.27832669189162473,0.15086971875500454,0.7080185865622439,0.3247889595175314,43.677178225199384,11.821162788094849,-13.309820165436408,3,0.10394412336693125,NVDA,9861.466094970703,388,-1.3853390502929688,-0.15931678793932655,-16.75%,42.07%,48.57142857142857,2025-12-08 12:07:07
10000,40,0.01157034309401578,0.06711015587468615,0.2971546131258903,0.2564121745933413,0.7323828901539112,0.36345077394807934,51.239992520464156,11.659603308027746,-10.601912620374222,3,0.10960168672578469,NVDA,9827.033798217773,428,-1.7296620178222657,-0.14015751388534875,-18.52%,42.73%,54.285714285714285,2025-12-08 12:07:19
10000,40,0.014043514886427706,0.17527249793675692,0.21307891725634068,0.08637506187752277,0.6178190061865694,0.4805488774242733,53.91260291093015,30.00919182794081,-27.975168396003944,3,0.10312005939517298,NVDA,10158.700004577637,418,1.5870000457763673,-0.06553099824883213,-16.31%,42.95%,54.72527472527473,2025-12-08 12:14:02
10000,30,0.014122901684033726,0.11405057928971428,0.24527167971969804,0.18336683391686265,0.7367587641873996,0.3825228277471888,55.67326776557355,35.16896699010006,-30.874642104814516,3,0.1092567206567809,NVDA,11232.551326751709,435,12.32551326751709,0.21710538558566372,-22.21%,44.40%,55.91397849462365,2025-12-08 12:14:14
