timestamp,final_value,return_pct,trades,ticker,initial_capital,lookback_window,label_threshold,learning_rate,phase_flexibility,lateral_strength,input_threshold,kerr_constant,system_energy,buy_threshold,sell_threshold,search_depth
2025-11-24 19:32:34,0,,0,NVDA,10000,60,0.02176943061125121,0.18579051928353413,0.07921150507121644,0.2523370709185955,0.7231450176176508,0.37145700505289814,51.420509073613744,18.406820227037123,-24.78564608068568,5
2025-11-24 19:44:03,16880.16752243042,68.8016752243042,366,NVDA,10000,45,0.01584516877924933,0.15841722857528617,0.24755864098647085,0.11273001455182337,0.748251909342054,0.3508096070397674,40.04143724805396,19.376060905905305,-29.09100553699389,5
2025-11-24 19:44:11,15811.963836669922,58.11963836669922,362,NVDA,10000,60,0.013739076173095817,0.1546929949904857,0.06998684217582912,0.11023698122122723,0.7017226817311053,0.2756004553023841,52.629978070709065,37.21014629878558,-36.766333740336606,5
2025-11-24 19:44:19,14793.020637512207,47.93020637512207,312,NVDA,10000,60,0.026131348534375924,0.0546309620362757,0.05294432947515764,0.10806952946807294,0.6582337958978639,0.34890408944404117,46.94869110930341,21.944077239330177,-37.28602977489058,5
2025-11-24 19:44:27,15071.107749938965,50.711077499389646,361,NVDA,10000,60,0.016962287339392607,0.06993196474260746,0.1466335589354298,0.16756373304713293,0.7341835325383226,0.36097840238841805,51.22604180833227,39.42283234809837,-28.310185336170356,5
2025-11-24 19:44:36,19848.884174346924,98.48884174346924,275,NVDA,10000,30,0.028054994821902636,0.16352598823642883,0.126705327413322,0.18738058346665393,0.7910032513567373,0.21319257882127274,47.86045070705259,26.771086660626235,-35.025764552414635,5
2025-11-24 19:44:44,20086.418674468994,100.86418674468993,294,NVDA,10000,30,0.025528173751584497,0.07620251593257651,0.1029930917688568,0.11260313702552945,0.7560653861613413,0.11788513732198272,51.76319988622626,29.328188484356808,-23.04183525046225,5
2025-11-24 19:44:53,16709.52486038208,67.0952486038208,333,NVDA,10000,45,0.024548996948063933,0.1651322186409728,0.08491673105345232,0.20861181933498935,0.6149959818556681,0.3116602008507106,42.52823628628934,38.4111810005884,-15.044740343968886,5
2025-11-24 19:45:01,15329.171440124512,53.291714401245116,355,NVDA,10000,60,0.019505909493592183,0.1762621275938266,0.19925601939729687,0.2806458016020713,0.7399509708170969,0.19123265484401236,58.221741026810626,30.45022073998505,-17.71206490598886,5
2025-11-24 19:45:09,16825.765655517578,68.25765655517579,375,NVDA,10000,45,0.011697168319807437,0.1354170168211622,0.2244486347346848,0.20436425156591526,0.7813045244325806,0.23849624450689993,48.891006600536116,27.929512109456425,-20.962428510667948,5
2025-11-24 19:45:17,15486.283088684082,54.86283088684082,286,NVDA,10000,60,0.029092623948046833,0.10742827535754582,0.06652994236822646,0.29684256709486345,0.7480827549073489,0.11426373031254942,45.328142522683265,30.946069390854166,-33.399995956973974,5
2025-11-24 19:48:38,17028.758323669434,70.28758323669435,351,NVDA,10000,45,0.022352220191762764,0.09445302563457887,0.13321346378240684,0.11584053253094567,0.6793320694082647,0.24353709988278985,51.52813059926814,25.443249202080175,-38.12003954620507,5
2025-11-24 19:48:47,20646.50401687622,106.46504016876221,373,NVDA,10000,30,0.013511171634458334,0.19095385930607556,0.11258385123410453,0.1672147216228131,0.6056890448474137,0.2564836559458854,44.28282551627353,19.730196725274126,-21.604950574772477,5
2025-11-24 19:48:55,20648.548599243164,106.48548599243163,346,NVDA,10000,30,0.01429124916209212,0.09225003572767385,0.0525702228010017,0.1558947708990133,0.6369367660607248,0.33754210703574594,58.89553505861104,32.002970109578584,-32.240985192801816,5
2025-11-24 19:49:04,16879.010681152344,68.79010681152343,354,NVDA,10000,45,0.023052703990102508,0.14916471745773335,0.12128534865857044,0.15240187838773278,0.6334368450555903,0.22190517170771495,50.62363357597776,18.115729957002507,-29.760870068766422,5
2025-11-24 19:49:12,20248.176681518555,102.48176681518555,288,NVDA,10000,30,0.02841282632666913,0.19862033662439754,0.11724724433662088,0.21719580200681532,0.7356425065337544,0.21993055295687855,46.56102251558421,25.689486834432977,-31.87422534848015,5
2025-11-24 19:49:21,17432.1884765625,74.321884765625,295,NVDA,10000,45,0.028105090303608672,0.08411853345696388,0.1805485942444392,0.20815749580024395,0.6707472999380354,0.21393095050406083,49.134096080081726,23.609349037260472,-35.900386392501645,5
2025-11-24 19:49:29,14772.454902648926,47.72454902648926,333,NVDA,10000,60,0.023207466813376126,0.052887916873616214,0.0672662968356447,0.27042096305104746,0.6465974493077892,0.21372409796745317,45.53174449002296,16.916765665604526,-20.621101065311404,5
2025-11-24 19:49:38,20411.97896194458,104.1197896194458,337,NVDA,10000,30,0.016173166358314575,0.06723461623667074,0.1309571618483712,0.1638514964665932,0.6431866915535107,0.14128447836494898,43.12472935775154,19.200258373137643,-25.938176776609332,5
