timestamp,final_value,return_pct,trades,initial_capital,lookback_window,label_threshold,learning_rate,phase_flexibility,lateral_strength,input_threshold,kerr_constant,system_energy,buy_threshold,sell_threshold,search_depth
2025-11-24 22:35:35,,46.334933476448064,,10000,30,0.016757092365163567,0.009505049570539725,0.2239083627856961,0.18236270076207145,0.6294062990512194,0.13557948536535122,44.64362081440978,27.34648057789518,-23.328787783157782,5
2025-11-24 22:36:32,,49.050521950721745,,10000,30,0.013896502111362887,0.01640308748271365,0.22533701227498854,0.29437110009071843,0.600727809574858,0.23183328754691312,47.5051685249737,38.6308882451481,-38.9651098284986,5
2025-11-24 22:37:22,,15.85668730735779,,10000,60,0.034313134628770656,0.09277275245212407,0.20773302928679388,0.26962738330133706,0.6334951165132444,0.1930047371152192,56.552117367437894,21.377955759969247,-17.084501974609555,5
2025-11-24 22:38:13,,24.297559432983398,,10000,60,0.02713401526873699,0.042556698435752105,0.2195823410568234,0.275497395124371,0.6652413501652925,0.3097152308737639,44.23050987002322,24.73912898526086,-24.9095421509079,5
2025-11-24 22:39:10,,50.36811539649964,,10000,30,0.013702585383631144,0.12527952074095788,0.1917821525018853,0.10157227940816455,0.6330110963543157,0.37631280049797877,49.7228368011778,15.314606082003067,-32.30531996781193,5
2025-11-24 22:40:02,,31.857208366394044,,10000,60,0.020106627796827183,0.034143098610202566,0.10978357423377388,0.12681481692348265,0.6296595460809817,0.18438352724242682,46.30087136968293,37.4320525416476,-21.089118718412294,5
2025-11-24 22:40:58,,47.99646456718444,,10000,30,0.016132604035816348,0.007211900503897995,0.18844696333516125,0.27842558008242013,0.6109632637978648,0.18476892159905545,47.11205663138938,21.277330212207055,-34.182191084943796,5
2025-11-24 22:41:48,,41.70634626388549,,10000,60,0.010265642368833152,0.07096132632960753,0.06364230685883843,0.13808980028009984,0.7719443913803438,0.3407305876415917,54.86017459300179,27.697195214899985,-37.591171940227994,5
2025-11-24 22:42:38,,25.76530198097229,,10000,60,0.025252579280395763,0.07994346029265273,0.19058509083495967,0.24153068125071456,0.7557178442752164,0.17998310421096797,54.447519647736705,28.280281126818,-21.28199603302739,5
2025-11-24 22:43:30,,41.066964721679696,,10000,60,0.01174115835602862,0.03143985648712331,0.1426727559198837,0.16962986905787078,0.7336599423498729,0.28710310502110015,59.934774111544904,17.29221295595178,-33.866941451341766,5
2025-11-24 22:44:22,,17.09176530838013,,10000,45,0.03444132147042467,0.14260356045366443,0.21999722290968238,0.2194636349824206,0.6389198145825321,0.19059253734228704,52.21586430218517,35.06719586495964,-29.73301415478725,5
2025-11-24 22:45:18,,49.656362066268926,,10000,30,0.012459404270790153,0.06389524911108922,0.18004761128565383,0.2867393420324726,0.6278425913302185,0.2050969926290541,45.12156532679842,18.667162607488613,-35.444961567261906,5
2025-11-24 22:46:13,,36.282828259468076,,10000,30,0.019354114052197866,0.04947945922981003,0.12722478493874637,0.1569496283754679,0.650336518145389,0.303363993410999,44.838750904637216,30.026737919051506,-30.33055798851933,5
2025-11-24 22:47:08,,44.56995564937592,,10000,45,0.012840410630576945,0.12037298611993139,0.16298759687142564,0.24055494130604538,0.6604630814094712,0.34624065133716264,51.00079121935076,36.25280859713813,-34.07577133637659,5
2025-11-24 22:48:02,,43.60767188072205,,10000,45,0.01687879222901959,0.13436890179365982,0.12214797702194385,0.25102017527291226,0.7396775353747465,0.3583216238487128,55.39905829913521,38.68767348558124,-21.71871667229678,5
2025-11-24 22:48:55,,47.08653289794921,,10000,30,0.013497445784108095,0.09227356576274917,0.07506408799031242,0.21861044054345177,0.788137318425348,0.26340441299402245,50.528486965954116,37.581968306617334,-28.632417422672404,5
2025-11-24 22:49:48,,29.208882398605347,,10000,45,0.022833813860482405,0.07685046386894057,0.23079775607497582,0.25903745036708137,0.6546793381502879,0.26439129002274575,46.55358608223719,35.07818267521585,-19.124573517002222,5
2025-11-24 22:50:40,,25.674057488441466,,10000,45,0.02421738451255579,0.020074546180263247,0.11549546888293519,0.1471326327270789,0.7268787822866376,0.2492814128108519,54.56237761029531,37.828775218462795,-32.59776614053023,5
2025-11-24 22:51:33,,42.00850439071655,,10000,60,0.015937732069158023,0.06422778167056485,0.2175801845626354,0.20036190339410184,0.603697094672519,0.21424602276799043,49.009132905960215,22.26777959723498,-21.195148334854537,5
2025-11-24 22:52:24,,28.66212442398071,,10000,60,0.023686786012667285,0.024306169201726804,0.22506456271744185,0.2801328067835317,0.7182029165559806,0.3186494683818464,42.32907852078355,25.746837355340013,-19.627970629700414,5
2025-11-24 22:53:18,,30.070751581192017,,10000,30,0.02356280003111504,0.08536903396129013,0.126413854479069,0.11021688067355516,0.7087670003362694,0.20095432466321728,55.0561027258681,19.192516510236455,-26.197155351293254,5
2025-11-24 22:54:09,,28.31042343139649,,10000,60,0.023210723687781654,0.008989139288552897,0.13124186353805192,0.2212664164537268,0.7331884972072438,0.2322351436011612,40.75077732602836,25.9712740601497,-35.74210564826582,5
2025-11-24 22:54:59,,33.843836097717286,,10000,60,0.01926232934488827,0.02712351053907521,0.09624698369146933,0.14629516483199448,0.7580597912436411,0.23469729103231757,41.336927642699116,35.557258948485725,-31.072771169772494,5
2025-11-24 22:55:53,,42.91353101253509,,10000,30,0.017485246439519125,0.04697113761861568,0.11631502233442514,0.15835626674070855,0.766215319164142,0.20557022413016213,50.36560925381644,38.03532182407971,-28.18604792626961,5
