timestamp,ticker,return_pct,trades,final_value,initial_capital,lookback_window,label_threshold,learning_rate,phase_flexibility,lateral_strength,input_threshold,kerr_constant,system_energy,buy_threshold,sell_threshold,search_depth
2025-11-24 20:14:50,NVDA,70.59941688537597,261,17059.941688537598,10000,45,0.034169323788631654,0.09365241621139435,0.1651233154895199,0.212301346589638,0.7665951103117064,0.11683336014628151,44.290953784594656,21.43707256193233,-31.734438916188676,3
2025-11-24 20:14:56,NVDA,47.80974479675293,344,14780.974479675293,10000,60,0.021778995407549212,0.022789519466784994,0.16843215804309422,0.24152250769874908,0.732869223900139,0.347484025178987,54.248213835012194,31.19105350847082,-32.00024955315127,3
2025-11-24 20:15:01,NVDA,68.0310817718506,356,16803.10817718506,10000,45,0.019140852373382148,0.11251853355757944,0.15035204560461518,0.12192539754698456,0.7659141310920948,0.21325275855474873,50.89524531183845,37.55873281437365,-33.63601470124602,3
2025-11-24 20:15:07,NVDA,64.92605743408203,320,16492.605743408203,10000,45,0.025173871223664865,0.04214076478403614,0.1512026073520111,0.14504330774361457,0.8249978993485472,0.22864376131666797,48.97366252964452,38.687814957294414,-23.793467016271784,3
2025-11-24 20:15:13,NVDA,103.82223991394044,317,20382.223991394043,10000,30,0.023480082736811902,0.11409602484724046,0.14857579534892107,0.28979463663405935,0.7335558065497035,0.2343737352259564,56.08362701268779,28.008804306209157,-22.68104126791941,3
2025-11-24 20:15:19,JPM,59.568016815185544,110,15956.801681518555,10000,30,0.018349781774889704,0.08005689697495837,0.07763314502929283,0.14267783048912658,0.7934145177738829,0.36866260580462873,41.95134336606566,25.980720373934506,-29.62374159936571,3
2025-11-24 20:15:24,JPM,43.668550415039064,65,14366.855041503906,10000,60,0.02206192474095078,0.09039849477145181,0.1367876743517452,0.12080139045488847,0.7245923749440709,0.1644442655144426,56.68915251288087,31.57249760733336,-33.129384129101865,3
2025-11-24 20:15:29,JPM,14.294812622070314,22,11429.481262207031,10000,45,0.02921303535237697,0.04883374866206148,0.19945498997689515,0.17114862241510506,0.7576512920860725,0.21257629549141738,58.43488749856641,22.18136402955691,-29.006856541629205,3
2025-11-24 20:15:35,JPM,56.85566650390626,99,15685.566650390625,10000,30,0.019517587665470047,0.07684042451763992,0.1226488496046862,0.18723750902771508,0.7539523429383411,0.2337948933994271,50.1640800488849,22.847294100882,-37.93259835022032,3
2025-11-24 20:15:41,JPM,10.607717742919922,20,11060.771774291992,10000,30,0.030024277260461606,0.14349011219365237,0.15788762813991955,0.16640980007831252,0.772829435297508,0.19955422214124724,47.580483121098666,37.96460043661371,-29.543855224157298,3
